id,name
418,Sulfolobus solfataricus
419,Streptococcus parasanguinis
420,Thermococcus sibiricus
421,Desulfotomaculum reducens
422,Methylophaga thiooxidans
423,Deinococcus radiodurans
425,Chromobacterium violaceum
426,Actinobacillus succinogenes
427,Bacteroides xylanisolvens
428,Streptococcus infantarius
429,Lactobacillus amylovorus
430,Actinomyces odontolyticus
432,Baumannia cicadellinicola
433,Denitrovibrio acetiphilus
434,Bifidobacterium dentium
435,Pyramidobacter piscolens
436,Brucella abortus
437,Coprococcus comes
438,Ruminococcus bromii
439,Clostridium hathewayi
440,Streptococcus pyogenes
441,Cellulomonas flavigena
442,Pyrococcus horikoshii
443,Lactobacillus casei
444,Corynebacterium glutamicum
445,Lactobacillus delbrueckii
446,Sphingobium japonicum
447,Roseburia intestinalis
448,Collinsella aerofaciens (Eubacterium aerofaciens)
449,Selenomonas sputigena
450,Mycoplasma gallisepticum
451,Prevotella ruminicola (Bacteroides ruminicola)
452,Salmonella enterica
453,Bacteroides salanitronis
454,Rhodothermus marinus
455,Desulfotomaculum acetoxidans
456,Desulfotomaculum nigrificans
457,Desulfarculus baarsii
458,Methylobacterium populi
459,Mycobacterium tuberculosis
460,Streptococcus mutans
461,Pseudomonas fluorescens
462,Acinetobacter calcoaceticus
463,Clostridium leptum
464,Sinorhizobium meliloti(Ensifer meliloti)
465,Leptotrichia hofstadii
466,Pyrococcus furiosus
467,Clostridium asparagiforme
469,Streptococcus dysgalactiae
470,Brucella melitensis
471,Methylotenera mobilis
472,Desulfovibrio piger
474,Nitrosococcus watsoni
475,Nitrosococcus halophilus
476,Methanocorpusculum labreanum
477,Lactobacillus acidophilus
478,Mesorhizobium ciceri
479,Pelotomaculum thermopropionicum
480,Burkholderia cenocepacia
481,Pseudomonas entomophila
482,Enterococcus italicus
483,Bacillus pseudomycoides
484,Methanococcoides burtonii
485,Clostridium scindens
486,Aggregatibacter actinomycetemcomitans
488,Bacillus atrophaeus
489,Bacillus subtilis
490,Eubacterium saphenum
491,Mycobacterium avium
492,Propionibacterium acnes
493,Bacillus cellulosilyticus
494,Geobacter bemidjiensis
495,Bacillus halodurans
497,Eubacterium siraeum
498,Methanobrevibacter ruminantium
499,Clostridium acetobutylicum
500,Paenibacillus polymyxa
501,Cellulosilyticum lentocellum
502,Clostridium kluyveri
503,Selenomonas artemidis
504,Neisseria gonorrhoeae
505,Faecalibacterium prausnitzii
506,Lactobacillus amylolyticus
507,Mycoplasma conjunctivae
509,Eubacterium saburreum
510,Clostridium methylpentosum
511,Starkeya novella
512,Citrobacter koseri
513,Fusobacterium mortiferum
514,Lactobacillus coleohominis
515,Metallosphaera sedula
516,Acetohalobium arabaticum
517,Nitrosospira multiformis
518,Mycoplasma haemofelis
520,Burkholderia vietnamiensis
521,Bacillus mycoides
522,Syntrophus aciditrophicus
523,Actinomyces urogenitalis
524,Lactobacillus crispatus
525,Lactobacillus hilgardii
526,Porphyromonas gingivalis
527,Clostridium phytofermentans
528,Achromobacter xylosoxidans
529,Methanopyrus kandleri
530,Odoribacter splanchnicus
531,Clostridium beijerinckii
532,Acidovorax delafieldii
533,Bacillus thuringiensis
534,Veillonella parvula
535,Lactobacillus antri
536,Pelobacter carbinolicus
537,Haloferax volcanii
538,Shigella flexneri
539,Streptomyces lividans
540,Clostridium cellulovorans
542,Streptococcus anginosus
543,Ruminococcus obeum
544,Methanoculleus marisnigri
545,Acidothermus cellulolyticus
546,Subdoligranulum variabile
547,Methanosphaera stadtmanae
548,Jonesia denitrificans
549,Blautia hansenii
550,Acinetobacter radioresistens
551,Coprococcus catus
552,Streptococcus equinus (Streptococcus equinus)
553,Picrophilus torridus
554,Streptococcus downei
555,Clostridium bolteae
556,Comamonas testosteroni
557,Burkholderia ambifaria
559,Methanohalobium evestigatum
560,Lactobacillus rhamnosus
561,Pseudomonas stutzeri
562,Methanobrevibacter smithii
563,Eubacterium ventriosum
564,Syntrophobotulus glycolicus
565,Clostridium cf
566,Clostridium hylemonae
567,Achromobacter piechaudii
568,Burkholderia phymatum
569,Lactobacillus ultunensis
